filename,width,height,class,xmin,ymin,xmax,ymax
000000002923.jpg,500,375,bird,135.72,236.52,144.85,251.58
000000002923.jpg,500,375,bird,170.9,158.79,183.84,165.95
000000002923.jpg,500,375,boat,246.24,189.05,309.07,206.19
000000002923.jpg,500,375,boat,112.03,191.23,143.15,214.82
000000002923.jpg,500,375,boat,24.38,196.97,52.209999999999994,214.88
000000002923.jpg,500,375,boat,464.33,146.21,500.0,216.16000000000003
000000003156.jpg,443,640,person,4.32,15.86,366.13,635.6800000000001
000000003156.jpg,443,640,sink,0.0,162.95,61.01,223.88
000000003156.jpg,443,640,toilet,255.43,248.26,443.0,615.53
000000003255.jpg,640,363,person,246.04,319.95,257.46999999999997,357.34999999999997
000000003255.jpg,640,363,person,261.41,311.89,273.11,356.71
000000003255.jpg,640,363,person,271.23,313.63,289.25,358.7
000000003255.jpg,640,363,person,295.91,313.66,317.68,352.63
000000003255.jpg,640,363,skis,276.13,353.09,290.65999999999997,358.03999999999996
000000003255.jpg,640,363,backpack,257.6,343.36,263.86,354.43
000000003255.jpg,640,363,backpack,271.89,318.92,282.21999999999997,337.19
000000003255.jpg,640,363,person,235.17,317.55,244.67999999999998,355.8
000000003255.jpg,640,363,backpack,307.25,332.46,317.33,349.13
000000003255.jpg,640,363,person,242.63,315.44,250.67,357.04
000000003501.jpg,612,612,broccoli,125.28,67.68,263.52,223.20000000000002
000000003501.jpg,612,612,broccoli,74.88,174.24,257.76,361.44
000000003501.jpg,612,612,bowl,12.38,8.25,603.75,583.12
000000003553.jpg,640,427,person,153.26,0.72,420.25,308.20000000000005
000000003553.jpg,640,427,skateboard,186.69,262.44,367.64,371.58
000000003661.jpg,640,384,banana,61.27,0.0,553.13,348.62
000000003661.jpg,640,384,keyboard,0.0,163.09,115.63,207.1
000000003661.jpg,640,384,cup,567.52,19.95,640.0,240.36999999999998
000000003845.jpg,500,375,dining table,1.69,1.69,500.0,368.26
000000003845.jpg,500,375,cup,105.92,0.04,183.03,55.12
000000003845.jpg,500,375,fork,137.45,44.25,424.38,93.16
000000003845.jpg,500,375,broccoli,121.15,206.42,178.2,270.45
000000003845.jpg,500,375,broccoli,171.25,186.27,266.98,257.4
000000003845.jpg,500,375,broccoli,49.41,162.08,103.24,207.08
000000003845.jpg,500,375,carrot,191.05,251.74,259.37,318.8
000000003845.jpg,500,375,carrot,258.53,189.71,296.46999999999997,262.06
000000003845.jpg,500,375,carrot,170.7,83.14,205.19,136.2
000000003845.jpg,500,375,carrot,108.53,85.59,162.07999999999998,122.9
000000003845.jpg,500,375,spoon,144.66,44.72,422.55999999999995,88.88
000000003845.jpg,500,375,carrot,211.99,136.21,278.81,197.71
000000003934.jpg,375,500,couch,132.26,226.36,375.0,354.13
000000003934.jpg,375,500,person,31.26,74.89,102.67,318.01
000000003934.jpg,375,500,person,295.99,132.3,325.57,207.06
000000003934.jpg,375,500,person,93.95,89.72,155.93,168.23000000000002
000000003934.jpg,375,500,cup,153.95,127.18,164.06,139.54000000000002
000000003934.jpg,375,500,remote,186.49,209.76,217.13,222.66
000000003934.jpg,375,500,remote,162.78,303.32,213.24,311.2
000000003934.jpg,375,500,person,152.27,82.79,204.79000000000002,225.74
000000003934.jpg,375,500,person,202.61,106.19,233.38000000000002,232.92000000000002
000000003934.jpg,375,500,wine glass,219.38,280.55,238.26,309.02
000000003934.jpg,375,500,wine glass,352.98,157.99,363.26,177.62
000000003934.jpg,375,500,wine glass,362.98,160.14,374.09000000000003,175.64
000000003934.jpg,375,500,person,61.66,149.1,208.52,466.37
000000003934.jpg,375,500,person,259.46,142.44,278.52,163.21
000000004134.jpg,640,425,tie,397.3,191.97,435.51,361.97
000000004134.jpg,640,425,person,236.85,45.84,584.49,420.22
000000004134.jpg,640,425,person,42.98,44.95,320.90000000000003,419.33
000000004134.jpg,640,425,person,258.35,165.18,275.90000000000003,203.15
000000004134.jpg,640,425,person,303.16,123.28,333.86,270.06
000000004134.jpg,640,425,person,469.45,109.7,527.65,180.79000000000002
000000004134.jpg,640,425,person,576.43,106.5,636.67,316.14
000000004134.jpg,640,425,person,0.0,110.49,70.67,269.99
000000004134.jpg,640,425,person,257.78,186.07,310.71,269.81
000000004134.jpg,640,425,person,190.53,118.99,231.03,255.08999999999997
000000004134.jpg,640,425,wine glass,224.54,255.38,240.26999999999998,280.55
000000004134.jpg,640,425,wine glass,221.2,243.76,235.04999999999998,277.74
000000004134.jpg,640,425,wine glass,21.6,247.5,36.14,278.76
000000004134.jpg,640,425,dining table,211.07,247.36,315.16999999999996,332.36
000000004134.jpg,640,425,person,237.06,129.38,266.41,206.45
000000004134.jpg,640,425,tie,19.97,148.93,35.989999999999995,219.52
000000004134.jpg,640,425,tie,322.83,147.25,329.88,164.86
000000004134.jpg,640,425,wine glass,242.36,198.97,249.77,215.38
000000004134.jpg,640,425,chair,255.5,231.79,295.68,270.25
000000004134.jpg,640,425,chair,277.95,182.82,298.0,214.38
000000004134.jpg,640,425,person,516.28,142.08,537.4399999999999,180.95000000000002
000000004134.jpg,640,425,person,551.31,149.57,640.0,425.0
000000004134.jpg,640,425,chair,289.56,171.11,300.5,195.14000000000001
000000004134.jpg,640,425,dining table,0.0,252.83,56.13,381.07000000000005
000000004134.jpg,640,425,person,346.56,136.92,382.22,200.42
000000004134.jpg,640,425,dining table,334.61,184.14,350.66,202.67
000000004395.jpg,425,640,tie,176.9,275.06,273.26,631.73
000000004395.jpg,425,640,person,1.44,1.44,425.0,638.5600000000001
000000004495.jpg,500,375,tv,189.82,111.18,261.88,178.59
000000004495.jpg,500,375,couch,201.58,198.92,497.88,375.0
000000004495.jpg,500,375,chair,4.19,148.57,154.35999999999999,327.26
000000004765.jpg,612,612,person,212.09,126.8,403.53999999999996,385.39
000000004765.jpg,612,612,surfboard,257.4,335.57,540.81,423.19
000000004795.jpg,640,480,cat,152.77,113.55,548.13,477.94
000000004795.jpg,640,480,laptop,0.0,192.0,174.74,474.61
000000004795.jpg,640,480,tv,19.95,2.49,640.0,351.58
000000005001.jpg,640,480,scissors,173.66,204.76,281.53,443.15
000000005001.jpg,640,480,person,10.79,32.63,69.03,201.98
000000005001.jpg,640,480,person,225.44,255.64,352.72,480.0
000000005001.jpg,640,480,person,77.25,244.56,190.55,479.82
000000005001.jpg,640,480,person,41.08,95.68,148.11,474.05
000000005001.jpg,640,480,person,119.23,81.44,188.49,269.61
000000005001.jpg,640,480,person,50.81,58.55,135.49,142.51999999999998
000000005001.jpg,640,480,person,171.19,31.06,251.57,185.54
000000005001.jpg,640,480,person,297.02,50.13,355.41999999999996,137.36
000000005001.jpg,640,480,person,211.45,88.41,335.12,281.41999999999996
000000005001.jpg,640,480,person,354.88,91.69,517.75,470.29
000000005001.jpg,640,480,person,434.75,40.93,505.61,160.61
000000005001.jpg,640,480,person,424.99,22.65,469.21000000000004,93.84
000000005001.jpg,640,480,handbag,535.53,275.03,594.66,347.45
000000005001.jpg,640,480,bicycle,500.46,159.1,545.87,258.36
000000005001.jpg,640,480,person,208.12,61.3,297.51,210.0
000000005001.jpg,640,480,scissors,450.78,334.49,470.03,392.51
000000005001.jpg,640,480,person,523.0,26.0,639.0,314.0
000000005037.jpg,640,425,bus,99.33,20.06,574.94,372.47
000000005037.jpg,640,425,car,572.48,248.07,600.1,267.38
000000005037.jpg,640,425,person,28.98,226.23,44.16,246.92999999999998
000000005037.jpg,640,425,person,18.74,221.13,30.39,247.78
000000005037.jpg,640,425,person,9.68,222.71,21.6,246.07
000000005037.jpg,640,425,person,595.57,242.81,613.96,271.37
000000005037.jpg,640,425,person,191.21,147.31,244.52,206.87
000000005037.jpg,640,425,person,48.31,223.43,61.17,247.78
000000005037.jpg,640,425,person,623.04,217.15,640.0,361.59000000000003
000000005037.jpg,640,425,car,592.82,248.46,603.6800000000001,261.69
000000005060.jpg,480,640,cell phone,231.04,370.54,242.70999999999998,389.39000000000004
000000005060.jpg,480,640,person,159.19,309.5,324.35,498.4
000000005193.jpg,640,425,person,138.8,113.43,247.92000000000002,394.85
000000005193.jpg,640,425,person,1.91,89.78,218.71,420.22
000000005193.jpg,640,425,person,223.61,63.61,260.92,186.56
000000005193.jpg,640,425,person,377.31,98.78,580.81,289.39
000000005193.jpg,640,425,person,289.16,171.75,409.47,400.74
000000005193.jpg,640,425,surfboard,239.0,64.86,337.72,414.63
000000005193.jpg,640,425,surfboard,460.0,73.0,564.0,337.0
000000005193.jpg,640,425,bottle,369.48,97.93,389.24,172.52
000000005193.jpg,640,425,person,360.06,220.62,487.08,374.38
000000005477.jpg,640,349,airplane,9.43,105.72,631.1899999999999,288.87
000000005477.jpg,640,349,airplane,51.4,249.06,301.84,277.15
000000005503.jpg,333,500,toilet,34.83,178.65,275.28,473.03
000000005529.jpg,444,640,person,79.1,116.49,256.0,450.16
000000005529.jpg,444,640,skis,100.85,403.65,188.07999999999998,442.41999999999996
000000005586.jpg,320,240,person,140.53,69.89,177.93,160.23000000000002
000000005586.jpg,320,240,person,131.1,169.11,199.89,226.33
000000005586.jpg,320,240,tennis racket,131.2,90.86,146.89999999999998,103.78
000000005586.jpg,320,240,person,65.6,36.61,76.44999999999999,44.75
000000005586.jpg,320,240,person,136.17,24.14,147.42999999999998,44.010000000000005
000000005586.jpg,320,240,person,146.46,29.57,155.25,44.019999999999996
000000005586.jpg,320,240,person,154.26,31.46,162.14999999999998,44.21
000000005586.jpg,320,240,person,186.46,32.3,197.85000000000002,44.12
000000005586.jpg,320,240,person,272.28,73.03,295.90999999999997,110.85
000000005586.jpg,320,240,person,178.0,26.34,186.24,43.89
000000005586.jpg,320,240,person,100.77,27.35,109.55,42.54
000000005586.jpg,320,240,person,291.53,62.07,301.72999999999996,104.31
000000005586.jpg,320,240,person,111.22,36.73,121.19,42.86
000000005586.jpg,320,240,person,301.85,39.19,311.87,48.33
000000005586.jpg,320,240,person,0.0,0.0,319.0,239.0
000000005600.jpg,640,361,spoon,89.24,95.73,210.92000000000002,241.75
000000005600.jpg,640,361,bowl,212.07,138.09,538.26,361.0
000000005600.jpg,640,361,bowl,123.31,1.68,374.78999999999996,181.77
000000005992.jpg,640,428,sheep,204.92,158.79,504.48,423.20000000000005
000000005992.jpg,640,428,sheep,425.67,124.49,580.76,411.90000000000003
000000005992.jpg,640,428,sheep,548.06,213.63,640.0,420.76
000000005992.jpg,640,428,sheep,25.77,125.18,235.63000000000002,368.17
000000005992.jpg,640,428,sheep,548.92,165.1,640.0,290.06
000000006012.jpg,640,531,banana,328.15,25.06,548.9,502.36
000000006012.jpg,640,531,banana,98.7,23.53,306.11,504.54999999999995
000000006040.jpg,640,351,train,63.1,84.4,601.0400000000001,306.83000000000004
000000006040.jpg,640,351,person,379.64,206.15,397.53,223.76
000000006040.jpg,640,351,person,331.63,201.93,356.83,228.95000000000002
000000006040.jpg,640,351,person,296.0,201.64,317.51,225.75
000000006040.jpg,640,351,car,0.95,180.36,29.5,219.69
000000006040.jpg,640,351,person,261.97,197.22,280.41,221.87
000000006040.jpg,640,351,person,198.77,198.77,208.23000000000002,216.91000000000003
000000006040.jpg,640,351,person,374.13,202.01,388.28,223.14999999999998
000000006040.jpg,640,351,person,350.72,200.56,360.88000000000005,232.27
000000006040.jpg,640,351,person,126.08,201.12,133.25,210.0
000000006040.jpg,640,351,person,139.61,197.7,145.61,210.53
000000006040.jpg,640,351,truck,0.0,158.22,55.07,211.06
000000006213.jpg,640,425,sink,406.37,253.32,496.75,286.88
000000006213.jpg,640,425,sink,589.33,292.78,640.0,312.85999999999996
000000006460.jpg,640,427,surfboard,276.27,138.54,285.88,230.83999999999997
000000006460.jpg,640,427,person,277.45,137.66,332.09999999999997,207.23
000000006471.jpg,500,333,person,256.84,70.89,353.90999999999997,303.84
000000006471.jpg,500,333,person,87.36,184.51,241.16000000000003,324.87
000000006471.jpg,500,333,person,87.07,71.44,153.6,140.51
000000006471.jpg,500,333,person,169.32,74.42,221.95,131.31
000000006471.jpg,500,333,person,387.13,60.11,475.27,113.56
000000006471.jpg,500,333,person,215.51,76.33,262.65999999999997,130.21
000000006471.jpg,500,333,baseball bat,301.85,28.33,364.09000000000003,98.07
000000006471.jpg,500,333,person,39.66,0.0,76.33,14.22
000000006471.jpg,500,333,bench,138.25,115.98,191.9,134.87
000000006471.jpg,500,333,bench,340.92,97.85,419.46000000000004,119.03999999999999
000000006471.jpg,500,333,baseball glove,213.66,230.4,242.46,263.48
000000006471.jpg,500,333,bottle,147.25,103.0,152.57,118.71000000000001
000000006471.jpg,500,333,person,17.55,96.95,68.37,149.2
000000006471.jpg,500,333,person,49.1,80.86,102.28,143.64
000000006471.jpg,500,333,bottle,86.46,107.35,91.13,123.83
000000006471.jpg,500,333,person,16.69,141.86,126.71,323.92
000000006614.jpg,500,396,apple,18.59,40.53,482.45,251.54
000000006614.jpg,500,396,orange,122.99,68.02,306.55,250.64
000000006723.jpg,640,361,car,171.76,203.56,207.14,222.96
000000006723.jpg,640,361,car,282.55,202.06,302.39,212.2
000000006723.jpg,640,361,car,332.46,200.85,345.04999999999995,209.91
000000006723.jpg,640,361,bus,361.51,194.03,389.18,224.01
000000006723.jpg,640,361,truck,362.11,192.66,389.52000000000004,223.23
000000006723.jpg,640,361,truck,204.9,201.04,242.33,229.29
000000006763.jpg,375,500,tv,219.73,64.57,371.08,191.26
000000006763.jpg,375,500,person,79.48,131.87,333.71,462.92
000000006763.jpg,375,500,person,2.53,94.94,236.71,477.21999999999997
000000006763.jpg,375,500,tie,136.15,235.58,181.31,415.62
000000006763.jpg,375,500,dining table,2.27,442.18,327.65999999999997,494.33
000000006763.jpg,375,500,cell phone,36.02,439.98,71.03,464.29
000000006763.jpg,375,500,person,0.0,212.86,48.54,335.03000000000003
000000006771.jpg,640,427,cell phone,267.47,264.34,300.36,306.07
000000006771.jpg,640,427,person,532.55,127.62,640.0,328.17
000000006771.jpg,640,427,person,0.96,0.0,247.56,422.2
000000006771.jpg,640,427,person,64.66,185.53,223.56,349.49
000000006771.jpg,640,427,person,386.95,131.82,480.82,228.5
000000006771.jpg,640,427,person,386.7,156.41,570.93,427.0
000000006771.jpg,640,427,person,534.47,166.0,640.0,418.36
000000006771.jpg,640,427,person,187.53,100.5,438.53999999999996,427.0
000000006771.jpg,640,427,person,102.06,146.13,202.07999999999998,228.22
000000006818.jpg,427,640,toilet,186.97,471.83,287.64,527.92
000000006894.jpg,640,480,person,293.39,20.49,640.0,480.0
000000006894.jpg,640,480,elephant,0.0,86.29,638.56,474.61
000000006954.jpg,640,480,person,1.08,107.87,163.96,454.11
000000006954.jpg,640,480,person,197.39,124.04,368.9,372.13
000000006954.jpg,640,480,person,362.55,151.05,450.01,315.73
000000006954.jpg,640,480,person,145.29,136.68,267.98,330.4
000000006954.jpg,640,480,person,359.19,117.57,640.0,386.15999999999997
000000006954.jpg,640,480,frisbee,248.09,224.36,365.65999999999997,347.33000000000004
000000006954.jpg,640,480,frisbee,457.35,229.82,601.89,373.28999999999996
000000007088.jpg,478,640,umbrella,82.37,173.35,304.15999999999997,268.72
000000007088.jpg,478,640,truck,229.66,152.05,369.27,187.99
000000007088.jpg,478,640,person,179.05,208.22,276.78000000000003,462.51
000000007088.jpg,478,640,car,47.29,181.92,59.11,191.73
000000007108.jpg,640,426,elephant,125.69,26.39,418.32,420.71999999999997
000000007108.jpg,640,426,elephant,401.19,77.47,632.99,426.0
000000007108.jpg,640,426,elephant,338.13,0.91,504.32,93.56
000000007108.jpg,640,426,elephant,120.88,219.0,203.62,345.95
000000007108.jpg,640,426,elephant,567.63,49.79,637.34,372.89000000000004
000000007278.jpg,640,482,person,189.78,59.41,311.63,154.3
000000007278.jpg,640,482,surfboard,283.77,57.93,337.65,119.28999999999999
000000007281.jpg,640,361,horse,349.35,188.65,461.15000000000003,357.12
000000007281.jpg,640,361,horse,471.85,179.59,548.5600000000001,355.65
000000007281.jpg,640,361,person,344.85,132.99,473.26,299.35
000000007281.jpg,640,361,person,465.33,122.24,527.5,195.92000000000002
000000007281.jpg,640,361,person,551.1,193.24,568.7,222.01000000000002
000000007281.jpg,640,361,person,572.72,201.91,580.12,212.79
000000007281.jpg,640,361,person,592.33,203.68,601.4200000000001,217.19
000000007281.jpg,640,361,person,255.86,199.85,261.64,206.57999999999998
000000007281.jpg,640,361,person,601.22,203.33,607.14,214.96
000000007281.jpg,640,361,person,634.84,209.66,638.59,215.52
000000007281.jpg,640,361,person,0.0,225.63,34.15,271.15999999999997
000000007281.jpg,640,361,person,534.6,209.47,538.33,213.93
000000007386.jpg,600,400,dog,180.91,281.14,219.31,326.62
000000007386.jpg,600,400,motorcycle,51.12,12.56,600.0,400.0
000000007386.jpg,600,400,bicycle,221.85,100.97,289.87,166.2
000000007386.jpg,600,400,bicycle,218.68,158.78,279.73,214.12
000000007386.jpg,600,400,truck,398.63,144.76,519.66,235.04
000000007511.jpg,640,480,person,386.16,240.54,509.12,472.45
000000007511.jpg,640,480,person,269.44,272.78,282.63,305.22999999999996
000000007511.jpg,640,480,person,385.74,274.12,391.69,282.09000000000003
000000007511.jpg,640,480,person,614.16,297.67,630.1,309.11
000000007511.jpg,640,480,person,523.46,276.22,531.8000000000001,297.45000000000005
000000007511.jpg,640,480,kite,205.37,127.34,221.17000000000002,161.2
000000007511.jpg,640,480,kite,554.75,169.18,565.71,180.33
000000007511.jpg,640,480,backpack,608.9,390.18,640.0,424.61
000000007511.jpg,640,480,person,605.67,296.63,615.62,308.64
000000007511.jpg,640,480,person,623.14,280.75,629.54,295.93
000000007511.jpg,640,480,person,610.59,277.12,616.77,286.01
000000007511.jpg,640,480,person,602.26,276.75,610.46,289.46
000000007511.jpg,640,480,person,511.12,286.87,520.04,299.57
000000007511.jpg,640,480,person,592.74,272.63,597.74,288.09
000000007511.jpg,640,480,person,238.78,281.73,252.42000000000002,306.32
000000007511.jpg,640,480,person,596.38,293.13,606.87,308.04
000000007511.jpg,640,480,person,337.0,272.0,604.0,300.0
000000007574.jpg,640,480,bottle,501.24,306.49,533.2,389.13
000000007574.jpg,640,480,bottle,483.34,299.06,510.64,381.47
000000007574.jpg,640,480,refrigerator,1.08,168.54,103.55,445.75
000000007574.jpg,640,480,wine glass,464.03,312.24,485.75,379.82
000000007574.jpg,640,480,wine glass,452.19,307.02,472.81,372.07
000000007574.jpg,640,480,oven,252.4,242.7,427.15,353.79999999999995
000000007574.jpg,640,480,sink,43.49,353.94,308.03000000000003,429.26
000000007574.jpg,640,480,bowl,102.93,74.91,153.41,89.39999999999999
000000007574.jpg,640,480,bowl,348.26,300.53,401.09,340.01
000000007574.jpg,640,480,microwave,304.03,146.07,362.71,236.38
000000007574.jpg,640,480,vase,205.62,55.27,230.27,92.80000000000001
000000007574.jpg,640,480,vase,240.83,57.72,267.0,93.69999999999999
000000007784.jpg,500,375,kite,93.96,86.13,334.37,306.22
000000007795.jpg,640,427,bed,0.96,191.43,454.76,418.34000000000003
000000007795.jpg,640,427,bed,163.72,189.52,483.49,311.11
000000007795.jpg,640,427,clock,133.18,245.94,141.73000000000002,258.56
000000007795.jpg,640,427,remote,625.52,256.08,639.84,261.25
000000007816.jpg,640,427,motorcycle,240.72,152.98,467.12,360.27
000000007816.jpg,640,427,person,491.06,56.27,519.44,162.91
000000007816.jpg,640,427,person,564.4,59.08,587.5799999999999,174.01
000000007816.jpg,640,427,person,573.48,53.75,598.01,82.4
000000007816.jpg,640,427,person,581.31,47.32,621.5,186.54999999999998
000000007816.jpg,640,427,person,415.88,122.97,479.89,176.01999999999998
000000007816.jpg,640,427,person,505.54,53.01,544.08,165.09
000000007816.jpg,640,427,person,362.4,107.53,384.75,149.13
000000007816.jpg,640,427,person,386.1,147.28,419.24,168.58
000000007816.jpg,640,427,person,244.25,34.1,295.07,144.14000000000001
000000007816.jpg,640,427,person,271.43,77.84,455.84000000000003,277.27
000000007818.jpg,640,427,dining table,0.0,77.36,640.0,427.0
000000007818.jpg,640,427,wine glass,332.5,158.89,413.42,352.66999999999996
000000007818.jpg,640,427,wine glass,399.86,187.2,443.02,284.73
000000007818.jpg,640,427,wine glass,136.56,150.03,227.93,329.87
000000007818.jpg,640,427,knife,446.99,265.1,554.56,282.33000000000004
000000007818.jpg,640,427,vase,288.05,215.87,358.38,314.68
